text,label,metadata
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib ([[ Iressa ]], ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",INHIBITOR,[]
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, [[ ZD1839 ]]) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",INHIBITOR,[]
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and [[ erlotinib ]] (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",INHIBITOR,[]
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib ([[ Tarceva ]], OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",INHIBITOR,[]
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, [[ OSI-774 ]]), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",INHIBITOR,[]
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as [[ cetuximab ]] (IMC-225, Erbitux).",INHIBITOR,[]
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab ([[ IMC-225 ]], Erbitux).",INHIBITOR,[]
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, [[ Erbitux ]]).",INHIBITOR,[]
"Agents that have only begun to undergo clinical evaluation include << CI-1033 >>, an irreversible pan-[[ erbB ]] tyrosine kinase inhibitor, and PKI166 and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2).",INHIBITOR,[]
"Agents that have only begun to undergo clinical evaluation include << CI-1033 >>, an irreversible pan-erbB [[ tyrosine kinase ]] inhibitor, and PKI166 and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2).",INHIBITOR,[]
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and << PKI166 >> and GW572016, both examples of dual [[ kinase ]] inhibitors (inhibiting epidermal growth factor receptor and Her2).",INHIBITOR,[]
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and << PKI166 >> and GW572016, both examples of dual kinase inhibitors (inhibiting [[ epidermal growth factor receptor ]] and Her2).",INHIBITOR,[]
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and << PKI166 >> and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and [[ Her2 ]]).",INHIBITOR,[]
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and PKI166 and << GW572016 >>, both examples of dual [[ kinase ]] inhibitors (inhibiting epidermal growth factor receptor and Her2).",INHIBITOR,[]
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and PKI166 and << GW572016 >>, both examples of dual kinase inhibitors (inhibiting [[ epidermal growth factor receptor ]] and Her2).",INHIBITOR,[]
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and PKI166 and << GW572016 >>, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and [[ Her2 ]]).",INHIBITOR,[]
<< Alprenolol >> and bromoacetylalprenololmenthane are competitive slowly reversible antagonists at the [[ beta 1-adrenoceptors ]] of rat left atria.,ANTAGONIST,[]
Alprenolol and << bromoacetylalprenololmenthane >> are competitive slowly reversible antagonists at the [[ beta 1-adrenoceptors ]] of rat left atria.,ANTAGONIST,[]
"<< Alprenolol >> and BAAM at 10(-7), 3 x 10(-7), and 10(-6) M inhibited the cardiac stimulation response slightly, which is indicative of membrane-stabilizing activity independent of [[ beta-adrenoceptor ]] blockade.",INHIBITOR,[]
"Alprenolol and << BAAM >> at 10(-7), 3 x 10(-7), and 10(-6) M inhibited the cardiac stimulation response slightly, which is indicative of membrane-stabilizing activity independent of [[ beta-adrenoceptor ]] blockade.",INHIBITOR,[]
"Alprenolol and BAAM also caused surmountable antagonism of << isoprenaline >> responses, and this [[ beta 1-adrenoceptor ]] antagonism was slowly reversible.",AGONIST,[]
"<< Alprenolol >> and BAAM also caused surmountable antagonism of isoprenaline responses, and this [[ beta 1-adrenoceptor ]] antagonism was slowly reversible.",ANTAGONIST,[]
"Alprenolol and << BAAM >> also caused surmountable antagonism of isoprenaline responses, and this [[ beta 1-adrenoceptor ]] antagonism was slowly reversible.",ANTAGONIST,[]
We conclude that << alprenolol >> and BAAM are competitive slowly reversible [[ beta 1-adrenoceptor ]] antagonists on rat left atria.,ANTAGONIST,[]
We conclude that alprenolol and << BAAM >> are competitive slowly reversible [[ beta 1-adrenoceptor ]] antagonists on rat left atria.,ANTAGONIST,[]
Discovery and optimization of << anthranilic acid sulfonamides >> as inhibitors of methionine aminopeptidase-2: a structural basis for the reduction of [[ albumin ]] binding.,DOWNREGULATOR,[]
<< Adenine phosphoribosyltransferase >> plays a role in purine salvage by catalyzing the direct conversion of adenine to [[ adenosine monophosphate ]].,PRODUCT-OF,[]
<< Adenine phosphoribosyltransferase >> plays a role in purine salvage by catalyzing the direct conversion of [[ adenine ]] to adenosine monophosphate.,SUBSTRATE,[]
"BACKGROUND: Since the introduction of the first << cholinesterase >> inhibitor (ChEI) in 1997, most clinicians and probably most patients would consider the cholinergic drugs, [[ donepezil ]], galantamine and rivastigmine, to be the first line pharmacotherapy for mild to moderate Alzheimer's disease.The drugs have slightly different pharmacological properties, but they all work by inhibiting the breakdown of acetylcholine, an important neurotransmitter associated with memory, by blocking the enzyme acetylcholinesterase.",INHIBITOR,[]
"BACKGROUND: Since the introduction of the first cholinesterase inhibitor (ChEI) in 1997, most clinicians and probably most patients would consider the cholinergic drugs, << donepezil >>, galantamine and rivastigmine, to be the first line pharmacotherapy for mild to moderate Alzheimer's disease.The drugs have slightly different pharmacological properties, but they all work by inhibiting the breakdown of acetylcholine, an important neurotransmitter associated with memory, by blocking the enzyme [[ acetylcholinesterase ]].",INHIBITOR,[]
"BACKGROUND: Since the introduction of the first << cholinesterase >> inhibitor (ChEI) in 1997, most clinicians and probably most patients would consider the cholinergic drugs, donepezil, [[ galantamine ]] and rivastigmine, to be the first line pharmacotherapy for mild to moderate Alzheimer's disease.The drugs have slightly different pharmacological properties, but they all work by inhibiting the breakdown of acetylcholine, an important neurotransmitter associated with memory, by blocking the enzyme acetylcholinesterase.",INHIBITOR,[]
"BACKGROUND: Since the introduction of the first cholinesterase inhibitor (ChEI) in 1997, most clinicians and probably most patients would consider the cholinergic drugs, donepezil, << galantamine >> and rivastigmine, to be the first line pharmacotherapy for mild to moderate Alzheimer's disease.The drugs have slightly different pharmacological properties, but they all work by inhibiting the breakdown of acetylcholine, an important neurotransmitter associated with memory, by blocking the enzyme [[ acetylcholinesterase ]].",INHIBITOR,[]
"BACKGROUND: Since the introduction of the first << cholinesterase >> inhibitor (ChEI) in 1997, most clinicians and probably most patients would consider the cholinergic drugs, donepezil, galantamine and [[ rivastigmine ]], to be the first line pharmacotherapy for mild to moderate Alzheimer's disease.The drugs have slightly different pharmacological properties, but they all work by inhibiting the breakdown of acetylcholine, an important neurotransmitter associated with memory, by blocking the enzyme acetylcholinesterase.",INHIBITOR,[]
"BACKGROUND: Since the introduction of the first cholinesterase inhibitor (ChEI) in 1997, most clinicians and probably most patients would consider the cholinergic drugs, donepezil, galantamine and << rivastigmine >>, to be the first line pharmacotherapy for mild to moderate Alzheimer's disease.The drugs have slightly different pharmacological properties, but they all work by inhibiting the breakdown of acetylcholine, an important neurotransmitter associated with memory, by blocking the enzyme [[ acetylcholinesterase ]].",INHIBITOR,[]
"BACKGROUND: Since the introduction of the first cholinesterase inhibitor (ChEI) in 1997, most clinicians and probably most patients would consider the cholinergic drugs, donepezil, galantamine and rivastigmine, to be the first line pharmacotherapy for mild to moderate Alzheimer's disease.The drugs have slightly different pharmacological properties, but they all work by inhibiting the breakdown of << acetylcholine >>, an important neurotransmitter associated with memory, by blocking the enzyme [[ acetylcholinesterase ]].",SUBSTRATE,[]
"Mitiglinide (<< KAD-1229 >>), a new anti-diabetic drug, is thought to stimulate [[ insulin ]] secretion by closing the ATP-sensitive K+ (K(ATP)) channels in pancreatic beta-cells.",INDIRECT-UPREGULATOR,[]
